"filename", "language", "Java", "Shell Script", "XML", "Markdown", "comment", "blank", "total"
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotatest/SoundTest.class", "Java", 11, 0, 0, 0, 0, 0, 11
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/SotaSample-master/bin/jp/vstone/sotatest/StillTest.class", "Java", 20, 0, 0, 0, 0, 0, 20
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/Self_code/ResponseFromGPT.class", "Java", 49, 0, 0, 0, 0, 1, 50
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/Self_code/Talk.class", "Java", 40, 0, 0, 0, 0, 0, 40
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/Self_code/hoge.class", "Java", 8, 0, 0, 0, 0, 0, 8
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/Self_code/testChatGPT.class", "Java", 38, 0, 0, 0, 0, 1, 39
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/Self_code/testMotion.class", "Java", 29, 0, 0, 0, 0, 0, 29
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/Self_code/testThinking.class", "Java", 32, 0, 0, 0, 0, 0, 32
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/java_compile.sh", "Shell Script", 0, 5, 0, 0, 0, 3, 8
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/java_run.sh", "Shell Script", 0, 7, 0, 0, 0, 2, 9
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/commusample/FaceTrackingSample.class", "Java", 46, 0, 0, 0, 0, 0, 46
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/commutest/ReadPosTest.class", "Java", 30, 0, 0, 0, 0, 0, 30
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/commutest/ServoSoundTest.class", "Java", 100, 0, 0, 0, 0, 0, 100
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/commutest/SoundTest.class", "Java", 24, 0, 0, 0, 0, 0, 24
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/ButtonReadSample.class", "Java", 32, 0, 0, 0, 0, 0, 32
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/FaceAuthenticationSample2.class", "Java", 63, 0, 0, 0, 0, 0, 63
"/Users/onozeki/Documents/GitHub/Project_Sota/SotaSample-master/bin/jp/vstone/sotasample/FaceTrackingSample.class", "Java", 45, 0, 0, 0, 0, 0, 45
